user_id,car_id,rating,timestamp,make,model,year,price,body_type,fuel_type
1,1001,4,10-03-2023 14:22,Toyota,Camry,2018,25500,Sedan,Gasoline
1,1002,3,01-04-2023 18:15,Honda,Civic,2019,22800,Sedan,Gasoline
1,1003,5,22-04-2023 09:30,Ford,Mustang,2020,36200,Coupe,Gasoline
2,1007,2,05-05-2023 11:00,Audi,A4,2022,42000,Sedan,Gasoline
2,1004,4,18-05-2023 16:45,BMW,X5,2021,61500,SUV,Gasoline
3,1002,4,20-01-2023 08:45,Honda,Civic,2019,22000,Sedan,Gasoline
3,1005,5,21-01-2023 17:00,Tesla,Model 3,2022,50000,Sedan,Electric
4,1003,3,22-01-2023 14:00,Ford,Mustang,2020,35000,Coupe,Gasoline
4,1006,4,23-01-2023 16:30,Chevrolet,Camaro,2019,30000,Coupe,Gasoline
5,1001,5,24-01-2023 07:30,Toyota,Camry,2018,25000,Sedan,Gasoline
5,1004,3,25-01-2023 10:45,BMW,X5,2021,60000,SUV,Gasoline
5,1005,4,26-01-2023 13:30,Tesla,Model 3,2022,50000,Sedan,Electric
6,1002,2,27-01-2023 10:00,Honda,Civic,2019,22000,Sedan,Gasoline
6,1006,5,28-01-2023 18:00,Chevrolet,Camaro,2019,30000,Coupe,Gasoline
7,1003,4,29-01-2023 11:45,Ford,Mustang,2020,35000,Coupe,Gasoline
7,1001,3,30-01-2023 09:15,Toyota,Camry,2018,25000,Sedan,Gasoline
8,1004,5,01-02-2023 15:00,BMW,X5,2021,60000,SUV,Gasoline
8,1002,4,02-02-2023 12:15,Honda,Civic,2019,22000,Sedan,Gasoline
9,1005,3,03-02-2023 08:30,Tesla,Model 3,2022,50000,Sedan,Electric
9,1003,5,04-02-2023 17:30,Ford,Mustang,2020,35000,Coupe,Gasoline
10,1006,4,05-02-2023 11:00,Chevrolet,Camaro,2019,30000,Coupe,Gasoline
10,1004,2,06-02-2023 14:30,BMW,X5,2021,60000,SUV,Gasoline
